Age,Age_Group,Income,Marital_Status,Education_Level,Kidhome,Teenhome,Has_Children,Customer_Days,Customer_Tenure_Years,Customer_Tenure_Group,Recency,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,NumDealsPurchases,NumWebVisitsMonth,MntTotal,MntGoldProds,Premium_Spend_Share,Is_High_Value_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,MntRegularProds,AcceptedCmpOverall
63,Seniors,58138.0,Single,Graduation,0,0,False,2822,7.73,Established,58,8,4,10,3,7,1529.0,88.0,0.0576,True,635.0,88.0,546.0,172.0,88.0,0,0,0,0,0,0,3,11,1,1441,0
66,Seniors,46344.0,Single,Graduation,1,1,True,2272,6.22,Newer,38,1,2,1,2,5,21.0,6.0,0.2857,False,11.0,1.0,6.0,2.0,1.0,0,0,0,0,0,0,3,11,0,15,0
55,Mid-Age,71613.0,Together,Graduation,0,0,False,2471,6.77,Newer,26,8,10,2,1,4,734.0,42.0,0.0572,False,426.0,49.0,127.0,111.0,21.0,0,0,0,0,0,0,3,11,0,692,0
36,Adults,26646.0,Together,Graduation,1,0,True,2298,6.29,Newer,26,2,4,0,2,6,48.0,5.0,0.1042,False,11.0,4.0,20.0,10.0,3.0,0,0,0,0,0,0,3,11,0,43,0
39,Adults,58293.0,Married,PhD,1,0,True,2320,6.35,Newer,94,5,6,3,5,5,407.0,15.0,0.0369,False,173.0,43.0,118.0,46.0,27.0,0,0,0,0,0,0,3,11,0,392,0
53,Mid-Age,62513.0,Together,Master,0,1,True,2452,6.71,Newer,16,6,10,4,2,6,702.0,14.0,0.0199,False,520.0,42.0,98.0,0.0,42.0,0,0,0,0,0,0,3,11,0,688,0
49,Mid-Age,55635.0,Divorced,Graduation,0,1,True,2752,7.53,Established,34,7,7,3,4,6,563.0,27.0,0.048,False,235.0,65.0,164.0,50.0,49.0,0,0,0,0,0,0,3,11,0,536,0
35,Adults,33454.0,Married,PhD,1,0,True,2576,7.05,Established,32,4,4,0,2,8,146.0,23.0,0.1575,False,76.0,10.0,56.0,3.0,1.0,0,0,0,0,0,0,3,11,0,123,0
46,Mid-Age,30351.0,Together,PhD,1,0,True,2547,6.97,Established,19,3,2,0,1,9,44.0,2.0,0.0455,False,14.0,0.0,24.0,3.0,3.0,0,0,0,0,0,0,3,11,1,42,0
70,Seniors,5648.0,Together,PhD,1,1,True,2267,6.21,Newer,68,1,0,0,1,20,36.0,13.0,0.3611,False,28.0,0.0,6.0,1.0,1.0,1,0,0,0,0,0,3,11,0,23,1
44,Adults,7500.0,Married,Basic,0,0,False,2752,7.53,Established,59,2,3,0,1,8,45.0,16.0,0.3556,False,6.0,16.0,11.0,11.0,1.0,0,0,0,0,0,0,3,11,0,29,0
61,Seniors,63033.0,Divorced,Graduation,0,0,False,2385,6.53,Newer,82,3,8,4,1,2,1072.0,30.0,0.028,True,194.0,61.0,480.0,225.0,112.0,0,0,0,0,0,0,3,11,0,1042,0
68,Seniors,59354.0,Divorced,Master,1,1,True,2385,6.53,Newer,53,6,5,1,3,6,296.0,14.0,0.0473,False,233.0,2.0,53.0,3.0,5.0,0,0,0,0,0,0,3,11,0,282,0
33,Adults,17323.0,Married,Graduation,0,0,False,2786,7.63,Established,38,1,3,0,1,8,41.0,5.0,0.122,False,3.0,14.0,17.0,6.0,1.0,0,0,0,0,0,0,3,11,0,36,0
74,Seniors,82800.0,Single,PhD,0,0,False,2741,7.5,Established,23,7,12,6,1,3,1270.0,45.0,0.0354,True,1006.0,22.0,115.0,59.0,68.0,0,0,1,1,0,0,3,11,1,1225,2
40,Adults,41850.0,Married,Graduation,1,1,True,2711,7.42,Established,51,3,3,0,3,8,92.0,4.0,0.0435,False,53.0,5.0,19.0,2.0,13.0,0,0,0,0,0,0,3,11,0,88,0
74,Seniors,37760.0,Together,Graduation,0,0,False,2826,7.74,Established,20,4,6,1,2,7,289.0,28.0,0.0969,False,84.0,5.0,38.0,150.0,12.0,0,0,0,0,0,0,3,11,0,261,0
71,Seniors,76995.0,Married,Master,0,1,True,2617,7.16,Established,91,11,9,4,2,5,1606.0,176.0,0.1096,True,1012.0,80.0,498.0,0.0,16.0,0,0,0,1,0,0,3,11,0,1430,1
35,Adults,33812.0,Single,2n Cycle,1,0,True,2762,7.56,Established,86,2,3,1,2,6,94.0,39.0,0.4149,False,4.0,17.0,19.0,30.0,24.0,0,0,0,0,0,0,3,11,0,55,0
38,Adults,37040.0,Married,Graduation,0,0,False,2849,7.8,Established,41,4,5,2,1,8,268.0,48.0,0.1791,False,86.0,2.0,73.0,69.0,38.0,0,0,0,0,0,0,3,11,0,220,0
41,Adults,2447.0,Married,Graduation,1,0,True,2698,7.39,Established,42,0,0,28,15,1,1729.0,1.0,0.0006,True,1.0,1.0,1725.0,1.0,1.0,0,0,0,0,0,0,3,11,0,1728,0
71,Seniors,58607.0,Married,PhD,0,1,True,2712,7.43,Established,63,2,9,3,3,8,953.0,19.0,0.0199,False,867.0,0.0,86.0,0.0,0.0,0,1,0,0,0,0,3,11,0,934,1
66,Seniors,65324.0,Married,PhD,0,1,True,2328,6.37,Newer,0,6,9,2,3,4,539.0,5.0,0.0093,False,384.0,0.0,102.0,21.0,32.0,0,0,0,0,0,0,3,11,0,534,0
69,Seniors,40689.0,Together,Graduation,0,1,True,2627,7.19,Established,69,7,5,1,7,8,345.0,99.0,0.287,False,270.0,3.0,27.0,39.0,6.0,0,0,0,0,0,0,3,11,0,246,0
51,Mid-Age,18589.0,Single,Graduation,0,0,False,2702,7.4,Established,89,2,3,1,2,7,62.0,13.0,0.2097,False,6.0,4.0,25.0,15.0,12.0,0,0,0,0,0,0,3,11,0,49,0
44,Adults,53359.0,Married,Graduation,1,1,True,2557,7.0,Established,4,5,4,1,4,7,216.0,41.0,0.1898,False,173.0,4.0,30.0,3.0,6.0,0,0,0,0,0,0,3,11,0,175,0
31,Adults,38360.0,Married,Graduation,1,0,True,2553,6.99,Established,26,2,4,1,2,3,121.0,10.0,0.0826,False,36.0,2.0,42.0,20.0,21.0,0,0,0,0,0,0,3,11,0,111,0
55,Mid-Age,84618.0,Married,PhD,0,0,False,2378,6.51,Newer,96,6,10,9,1,2,1672.0,0.0,0.0,True,684.0,100.0,801.0,21.0,66.0,0,0,1,0,0,0,3,11,0,1672,1
31,Adults,10979.0,Divorced,Master,0,0,False,2197,6.02,Newer,34,3,3,0,2,5,26.0,4.0,0.1538,False,8.0,4.0,10.0,2.0,2.0,0,0,0,0,0,0,3,11,0,22,0
57,Mid-Age,38620.0,Together,Master,0,0,False,2573,7.04,Established,56,2,3,5,1,3,229.0,89.0,0.3886,False,112.0,17.0,44.0,34.0,22.0,0,0,0,0,0,0,3,11,0,140,0
50,Mid-Age,40548.0,Together,Graduation,0,1,True,2786,7.63,Established,31,2,4,1,2,5,117.0,3.0,0.0256,False,110.0,0.0,5.0,2.0,0.0,0,1,0,0,0,0,3,11,0,114,1
68,Seniors,46610.0,Divorced,PhD,0,2,True,2767,7.58,Established,8,4,6,1,6,6,259.0,43.0,0.166,False,96.0,12.0,96.0,33.0,22.0,0,0,0,0,0,0,3,11,1,216,0
74,Seniors,68657.0,Married,Master,0,0,False,2653,7.26,Established,4,3,9,5,1,7,1174.0,22.0,0.0187,True,482.0,34.0,471.0,119.0,68.0,0,0,0,0,0,0,3,11,0,1152,0
69,Seniors,49389.0,Single,Master,1,1,True,2463,6.74,Newer,55,2,3,0,1,7,62.0,3.0,0.0484,False,40.0,0.0,19.0,2.0,1.0,0,0,0,0,0,0,3,11,0,59,0
50,Mid-Age,67353.0,Married,PhD,0,1,True,2339,6.4,Newer,37,5,12,6,5,2,878.0,35.0,0.0399,False,702.0,17.0,151.0,0.0,8.0,0,0,0,0,0,0,3,11,0,843,0
44,Adults,23718.0,Married,2n Cycle,1,0,True,2459,6.73,Newer,76,3,2,1,3,7,45.0,36.0,0.8,False,6.0,3.0,14.0,15.0,7.0,0,0,0,0,0,0,3,11,0,9,0
47,Mid-Age,42429.0,Widow,Graduation,0,1,True,2297,6.29,Newer,99,1,3,1,2,5,63.0,4.0,0.0635,False,55.0,0.0,6.0,2.0,0.0,0,0,0,0,0,0,3,11,0,59,0
77,Seniors,48948.0,Divorced,PhD,0,0,False,2672,7.32,Established,53,7,5,10,2,6,860.0,42.0,0.0488,False,437.0,8.0,206.0,160.0,49.0,1,0,0,0,0,0,3,11,1,818,1
40,Adults,80011.0,Married,Graduation,0,1,True,2585,7.08,Established,3,8,5,6,2,4,1293.0,102.0,0.0789,True,421.0,76.0,536.0,82.0,178.0,0,0,0,0,0,0,3,11,0,1191,0
35,Adults,20559.0,Married,Master,1,0,True,2633,7.21,Established,88,2,3,0,2,8,46.0,7.0,0.1522,False,13.0,1.0,29.0,3.0,0.0,0,0,0,0,0,0,3,11,0,39,0
63,Seniors,21994.0,Together,Graduation,0,1,True,2711,7.42,Established,4,0,3,0,1,5,19.0,3.0,0.1579,False,9.0,0.0,6.0,3.0,1.0,0,0,0,0,0,0,3,11,0,16,0
45,Mid-Age,7500.0,Married,Master,1,0,True,2429,6.65,Newer,19,2,3,0,3,5,19.0,12.0,0.6316,False,3.0,1.0,10.0,3.0,2.0,0,0,0,0,0,0,3,11,0,7,0
44,Adults,79941.0,Single,Graduation,0,0,False,2160,5.91,Newer,72,2,9,4,1,1,810.0,174.0,0.2148,False,123.0,164.0,266.0,227.0,30.0,0,0,0,0,0,0,3,11,0,636,0
24,Young Adults,7500.0,Married,2n Cycle,0,0,False,2756,7.55,Established,24,3,3,1,3,9,72.0,50.0,0.6944,False,3.0,18.0,14.0,15.0,22.0,0,0,0,0,0,0,3,11,1,22,0
52,Mid-Age,41728.0,Together,Graduation,1,0,True,2560,7.01,Established,92,2,2,0,1,10,42.0,13.0,0.3095,False,13.0,6.0,15.0,3.0,5.0,0,0,0,0,0,0,3,11,0,29,0
66,Seniors,72550.0,Married,PhD,1,1,True,2757,7.55,Established,39,5,12,2,9,8,1281.0,38.0,0.0297,True,826.0,50.0,317.0,50.0,38.0,0,0,0,0,0,0,3,11,0,1243,0
63,Seniors,65486.0,Widow,Graduation,0,1,True,2207,6.04,Newer,29,4,10,2,1,2,493.0,14.0,0.0284,False,245.0,19.0,125.0,37.0,67.0,0,0,0,0,0,0,3,11,0,479,0
56,Mid-Age,79143.0,Married,Master,0,0,False,2846,7.79,Established,2,6,13,9,1,3,1661.0,32.0,0.0193,True,650.0,37.0,780.0,27.0,167.0,0,0,0,0,0,0,3,11,0,1629,0
43,Adults,35790.0,Single,Graduation,1,0,True,2702,7.4,Established,54,2,3,0,2,7,69.0,3.0,0.0435,False,12.0,6.0,20.0,30.0,1.0,0,0,0,0,0,0,3,11,0,66,0
43,Adults,82582.0,Divorced,Graduation,0,0,False,2181,5.97,Newer,54,4,7,9,1,1,1376.0,241.0,0.1751,True,510.0,120.0,550.0,156.0,40.0,1,0,0,1,0,0,3,11,1,1135,2
42,Adults,66373.0,Married,Graduation,1,1,True,2541,6.96,Established,57,4,10,2,7,3,497.0,109.0,0.2193,False,328.0,9.0,124.0,12.0,24.0,0,0,0,0,0,0,3,11,0,388,0
65,Seniors,82384.0,Together,Master,0,0,False,2746,7.52,Established,55,3,13,10,1,1,1767.0,190.0,0.1075,True,984.0,51.0,432.0,180.0,120.0,0,0,1,0,0,0,3,11,1,1577,1
54,Mid-Age,70287.0,Divorced,Graduation,0,0,False,2612,7.15,Established,30,5,10,5,1,3,1053.0,40.0,0.038,True,295.0,35.0,482.0,121.0,120.0,0,0,0,0,0,0,3,11,1,1013,0
32,Adults,27938.0,Single,Graduation,1,0,True,2221,6.08,Newer,31,1,4,0,1,3,24.0,5.0,0.2083,False,13.0,0.0,8.0,2.0,1.0,0,0,0,0,0,0,3,11,0,19,0
52,Mid-Age,55954.0,Married,PhD,0,1,True,2277,6.23,Newer,63,8,6,2,3,7,475.0,43.0,0.0905,False,447.0,0.0,28.0,0.0,0.0,0,0,0,0,0,0,3,11,0,432,0
38,Adults,75777.0,Single,Master,0,0,False,2519,6.9,Established,12,3,11,6,1,1,1358.0,80.0,0.0589,True,712.0,26.0,538.0,69.0,13.0,0,1,1,0,0,0,3,11,1,1278,2
45,Mid-Age,66653.0,Together,Graduation,1,1,True,2819,7.72,Established,18,4,12,2,4,3,606.0,6.0,0.0099,False,452.0,18.0,102.0,16.0,18.0,0,0,0,0,0,0,3,11,0,600,0
68,Seniors,61823.0,Single,Graduation,0,1,True,2655,7.27,Established,26,8,10,2,4,7,715.0,169.0,0.2364,False,523.0,7.0,134.0,37.0,14.0,0,0,0,0,0,0,3,11,0,546,0
69,Seniors,67680.0,Widow,PhD,0,1,True,2542,6.96,Established,8,7,8,3,1,5,600.0,6.0,0.01,False,546.0,0.0,48.0,0.0,6.0,0,0,0,0,0,0,3,11,0,594,0
72,Seniors,70666.0,Together,Graduation,0,0,False,2364,6.47,Newer,29,7,4,4,1,4,1046.0,30.0,0.0287,True,398.0,40.0,367.0,119.0,122.0,0,0,0,0,0,0,3,11,0,1016,0
49,Mid-Age,25721.0,Married,Graduation,1,0,True,2563,7.02,Established,75,1,2,1,1,7,19.0,15.0,0.7895,False,1.0,3.0,6.0,3.0,6.0,0,0,0,0,0,0,3,11,1,4,0
